grade,review_status,label,selection_order,latent_idx,rank_within_label,inclusion_frequency,abs_cohens_d,short_name,explanation_type,confidence,support_fraction_model_reported,selection_rationale,human_final_name,reviewer_1,reviewer_2,human_review_notes
B,pending_human_review,GI,3,27515,5,0.98,0.51868814,medical_advice_and_history,behavioral_function,4,1.0,标签内稳定排名第5；治疗方案、药物调整和生活方式建议。,,,,
B,pending_human_review,GI,4,26236,6,0.93,0.5108132,cholesterol_and_blood_pressure_discourse,topic,4,1.0,标签内稳定排名第6；胆固醇和血压管理的具体信息主题。,,,,
B,pending_human_review,GI,5,16515,8,0.98,0.50999165,healthcare_discourse_quantities,topic,4,1.0,标签内稳定排名第8；剂量、指标、数量和量表等数值信息。,,,,
B,pending_human_review,SU,1,24760,1,0.99,1.0625718,empathic understanding,behavioral_function,4,1.0,标签内稳定排名第1；I understand 引导的理解与共情表达。,,,,
B,pending_human_review,SU,2,29825,3,0.95,1.0053388,empathic_validation_and_permission_requests,behavioral_function,4,0.92,标签内稳定排名第3；理解、正常化与征求许可共现，适合审查支持功能边界。,,,,
B,pending_human_review,SU,3,16736,4,0.99,0.99924845,difficulty_acknowledgment,affective_content,4,1.0,标签内稳定排名第4；hard/difficult/tough 等困难承认模式。,,,,
B,pending_human_review,SU,4,9720,7,0.84,0.9783542,help_offers_and_inquiries,behavioral_function,4,1.0,标签内稳定排名第7；提供帮助和询问需求的 help 模板。,,,,
B,pending_human_review,SU,5,28795,15,0.88,0.8491257,apologies_and_empathy,affective_content,4,0.94,标签内稳定排名第15；道歉、遗憾和共情内容，提供情感类型多样性。,,,,
B,pending_human_review,AF,1,23464,1,1.0,2.2372992,affirmative_evaluations,affective_content,3,0.78,标签内稳定排名第1；that's/that sounds + 正向形容词的肯定评价。,,,,
B,pending_human_review,AF,2,7143,2,1.0,1.9052259,affirmative_reflection,behavioral_function,4,1.0,标签内稳定排名第2；对行动、动机和进展的肯定性改述。,,,,
B,pending_human_review,AF,3,17793,4,1.0,1.606084,thank_you_for_coming,linguistic_structure,4,0.98,标签内稳定排名第4；thank you for coming/sharing 的参与感谢模板。,,,,
B,pending_human_review,AF,4,30870,5,1.0,1.5468876,affirmative_evaluation_of_goals_plans_ideas,behavioral_function,4,0.86,标签内稳定排名第5；对目标、计划和想法的正向评价。,,,,
B,pending_human_review,AF,5,2434,10,1.0,1.2701302,thank_you_for_gerund,linguistic_structure,5,1.0,标签内稳定排名第10；内容抽样确认质量高的 thank you for + gerund 模板。,,,,
