latent_idx,all_labels,leaf_labels,sharing_scope_all_labels,sharing_scope_leaf_labels,evidence_class,short_name,component_assignments
8034,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,okay_so_it_sounds_like,RE:反映式表层模板|REC:反映式表层模板
9959,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,open-ended questions about personal experiences,QU:开放式经历与观点探索|QUO:开放式经历与观点探索
10181,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapeutic reflection on ambivalence,RE:矛盾与双面反映|REC:矛盾与双面反映
10916,QU|QUO|QUC,QUO|QUC,parent_child,sibling_leaf,behavioral_function,health-related open-ended questions,QU:isolated/unassigned|QUO:isolated/unassigned|QUC:一般性澄清追问
11405,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,second-person advice and reflection,RE:直接建议与风险反馈|REC:建议、计划与风险反馈
11660,QU|QUO|QUC,QUO|QUC,parent_child,sibling_leaf,linguistic_structure,wh_questions_with_would,QU:WH 问句形式|QUO:WH 问句与不流利结构|QUC:isolated/unassigned
12340,QU|QUO|QUC,QUO|QUC,parent_child,sibling_leaf,linguistic_structure,do_you_questions,QU:do you 助动词问句|QUO:isolated/unassigned|QUC:助动词前置的是非问句
12544,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,linguistic_structure,wh-word repetitions and false starts,QU:问句重复与不流利|QUO:WH 问句与不流利结构
12852,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapeutic reflection and advice,RE:矛盾与双面反映|REC:矛盾与双面反映
13169,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapeutic_reflection_and_advice,RE:isolated/unassigned|REC:isolated/unassigned
13430,QU|QUO|QUC,QUO|QUC,parent_child,sibling_leaf,behavioral_function,clinical_questions,QU:聚焦式事实与行为评估|QUO:聚焦式数量与病史询问|QUC:聚焦式健康与病史评估
13966,RE|RES,RES,parent_child,no_multi_leaf_overlap,linguistic_structure,you're statements about health and emotions,RE:第二人称评价与经历陈述|RES:第二人称指向结构
14875,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,therapeutic_discourse_markers,RE:so 引导的话语启动结构|REC:so 引导的话语启动结构
15068,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,it-cleft and evaluative stance,RE:it 引导的评价结构|REC:反映式表层模板
16292,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapist_reflection_pattern,RE:反映式重构与总结|REC:反映式重构与总结
16969,QU|QUC,QUC,parent_child,no_multi_leaf_overlap,linguistic_structure,do_you_questions,QU:do you 助动词问句|QUC:助动词前置的是非问句
17861,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,second-person statements about personal experiences,RE:第二人称评价与经历陈述|REC:isolated/unassigned
18310,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,open-ended questions about change and barriers,QU:改变动机与障碍唤起|QUO:改变动机与差距探索
18730,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,exploratory_questioning_about_patient_experience,QU:开放式经历与观点探索|QUO:开放式经历与观点探索
19005,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapeutic_discourse_markers,RE:isolated/unassigned|REC:isolated/unassigned
19435,RE|RES|REC,RES|REC,parent_child,sibling_leaf,linguistic_structure,so_you_statements,RE:so 引导的话语启动结构|RES:第二人称指向结构|REC:so 引导的话语启动结构
20436,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,ambivalence_reflection,RE:矛盾与双面反映|REC:矛盾与双面反映
20808,RE|RES,RES,parent_child,no_multi_leaf_overlap,linguistic_structure,second-person address,RE:第二人称评价与经历陈述|RES:第二人称指向结构
21125,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,interviewer_questions_about_behavior_change,QU:开放式经历与观点探索|QUO:开放式经历与观点探索
21203,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,therapeutic_questioning_pattern,QU:改变动机与障碍唤起|QUO:改变动机与差距探索
21800,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,it_sounds_like_reflection,RE:反映式表层模板|REC:反映式表层模板
21935,QU|QUC,QUC,parent_child,no_multi_leaf_overlap,behavioral_function,health-behavior questions,QU:聚焦式事实与行为评估|QUC:聚焦式健康与病史评估
22358,QU|QUC,QUC,parent_child,no_multi_leaf_overlap,behavioral_function,questioning_pattern,QU:聚焦式事实与行为评估|QUC:一般性澄清追问
22558,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapist reflection with 'pretty',RE:情绪与压力反映|REC:情绪与经历反映
23183,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,linguistic_structure,what-initial questions,QU:WH 问句形式|QUO:what 问句模板
23242,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapist_observation_and_affirmation,RE:isolated/unassigned|REC:isolated/unassigned
23464,SU|AF,SU|AF,cross_family,cross_family,affective_content,affirmative_evaluations,SU:isolated/unassigned|AF:正向评价与赞扬内容
23670,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,sounds_like_reflection,RE:反映式表层模板|REC:反映式表层模板
24744,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,wh-questions,QU:开放式经历与观点探索|QUO:开放式经历与观点探索
24761,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,open-ended_question_pattern,QU:开放式经历与观点探索|QUO:开放式经历与观点探索
24856,SU|AF,SU|AF,cross_family,cross_family,linguistic_structure,evaluative_that-copula-adjective,SU:指示词评价结构|AF:评价性句式（以正向为主）
24943,QU|QUC,QUC,parent_child,no_multi_leaf_overlap,behavioral_function,healthcare interview questions,QU:聚焦式事实与行为评估|QUC:聚焦式健康与病史评估
26144,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,therapist_question_pattern,QU:开放式经历与观点探索|QUO:开放式经历与观点探索
26319,RE|RES|REC,RES|REC,parent_child,sibling_leaf,linguistic_structure,so_that_purpose_clauses,RE:isolated/unassigned|RES:isolated/unassigned|REC:isolated/unassigned
26485,QU|QUO|QUC,QUO|QUC,parent_child,sibling_leaf,behavioral_function,how_questions,QU:开放式经历与观点探索|QUO:开放式经历与观点探索|QUC:一般性澄清追问
26800,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapist_reflection_pattern,RE:反映式重构与总结|REC:反映式重构与总结
26869,RE|REC,REC,parent_child,no_multi_leaf_overlap,surface_artifact,possessive_clitic_errors,RE:isolated/unassigned|REC:isolated/unassigned
26968,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapeutic_emotion_focus,RE:情绪与压力反映|REC:情绪与经历反映
27061,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,therapeutic_questioning,QU:改变动机与障碍唤起|QUO:改变动机与差距探索
28269,RE|RES,RES,parent_child,no_multi_leaf_overlap,behavioral_function,therapist_paraphrase_so_okay,RE:反映式重构与总结|RES:反映与理解核对
28688,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,it sounds/looks like + interpretation,RE:反映式表层模板|REC:反映式表层模板
29190,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,that_sounds_like_evaluation,RE:反映式表层模板|REC:反映式表层模板
29590,QU|QUO|QUC,QUO|QUC,parent_child,sibling_leaf,behavioral_function,how_long_how_much_how_often_questions,QU:聚焦式事实与行为评估|QUO:聚焦式数量与病史询问|QUC:聚焦式健康与病史评估
29759,RE|RES|REC,RES|REC,parent_child,sibling_leaf,behavioral_function,therapeutic reflection and questioning,RE:确认与探索性追问|RES:反映与理解核对|REC:isolated/unassigned
29874,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,seems_like_reflection,RE:反映式重构与总结|REC:反映式重构与总结
30224,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapeutic reflection and questioning,RE:反映式重构与总结|REC:反映式重构与总结
31133,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,sounds_like_reflection,RE:反映式重构与总结|REC:反映式重构与总结
31930,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,So-prefixed therapeutic questions,RE:so 引导的话语启动结构|REC:so 引导的话语启动结构
32508,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,behavioral_function,therapeutic_questioning,QU:开放式经历与观点探索|QUO:开放式经历与观点探索
