label,is_leaf_label,component_ref,behavior_component,behavior_component_en,definition,supporting_feature_count,supporting_sae_features,representative_evidence,confidence,boundary_note,status
REC,True,REC:directive_plan_feedback,建议、计划与风险反馈,"advice, planning, and risk feedback",提供建议、归纳行动计划或强调行为风险。,5,F11405|F9993|F7054|F31867|F8226,"F11405/s002: Well, you know, you're doing good but don't forget what we talked about today, okay, about your chew tobacco and your mouth || F9993/s001: it might be your decision if you want children but as a doctor I'm not prepared to make that decision and to verify that decision for you || F7054/s001: yeah absolutely if you don't have that first if you can stop yourself having that first drink you're more inclined not to keep drinking of course",中,该组是 REC 关联中的非典型行为功能，不应写成 REC 定义。,current_ai_grouping_pending_human_review
QU,False,QU:open_exploration,开放式经历与观点探索,open exploration of experience and perspective,邀请对方展开经历、感受、观点或个人情境。,8,F9959|F26485|F21125|F24744|F26144|F24761|F18730|F32508,F9959/s001: What kind of dog do you have? || F26485/s005: how do you feel about that || F21125/s001: okay so you said that you were a big runner what role did running play in your life,高,部分卡片也包含事实收集，边界以是否鼓励展开作区分。,current_ai_grouping_pending_human_review
QU,False,QU:change_evocation,改变动机与障碍唤起,change-motivation and barrier evocation,询问改变的理由、利弊、障碍和可能行动，以促发自我反思。,3,F27061|F18310|F21203,F27061/s001: do you know of any thing that will help you quit smoking? || F18310/s001: in what ways might your life be better if you succeed in making the changes you mentioned || F21203/s001: you also mentioned that smoking is a way to manage your weight and concern that if you are we're going to quit smoking what that would do in terms of gaining weight and that smoking after meals is pleasurable that it's something that would be really hard to give up,高,当前证据支持提问功能，不证明产生了实际改变言语。,current_ai_grouping_pending_human_review
QU,False,QU:focused_assessment,聚焦式事实与行为评估,focused factual and behavioral assessment,收集病史、频率、数量、行为状态或其他相对明确的信息。,6,F13430|F29590|F21935|F24943|F22358|F21859,F13430/s001: Did you come here for a prescription for anti-depressants? || F29590/s001: how long has it been since you kind of drink || F21935/s001: and you mentioned that you weren't sleeping too well do you have any weight changes during that time,高,该成分混合开放和封闭问法，不能据此判断 QUO/QUC。,current_ai_grouping_pending_human_review
QUO,True,QUO:open_exploration,开放式经历与观点探索,open exploration of experience and perspective,使用 what/how/tell me 等方式邀请对方展开经历、观点、目标和困难。,14,F9959|F26485|F24744|F24761|F18730|F21125|F19840|F32508|F26144|F19038|F3887|F19470|F3156|F14247,F9959/s001: What kind of dog do you have? || F26485/s005: how do you feel about that || F24744/s001: um what do you think that there's more of more positive or negative,高,开放形式并不自动等于治疗性功能。,current_ai_grouping_pending_human_review
QUO,True,QUO:change_evocation,改变动机与差距探索,change-motivation and discrepancy exploration,探索改变的理由、障碍、两面性以及当前状态与目标的差距。,4,F18310|F27061|F21203|F18990,F18310/s001: in what ways might your life be better if you succeed in making the changes you mentioned || F27061/s001: do you know of any thing that will help you quit smoking? || F21203/s001: you also mentioned that smoking is a way to manage your weight and concern that if you are we're going to quit smoking what that would do in terms of gaining weight and that smoking after meals is pleasurable that it's something that would be really hard to give up,高,部分样例是一般信息收集，成分边界仍需人工确认。,current_ai_grouping_pending_human_review
QUO,True,QUO:focused_assessment,聚焦式数量与病史询问,focused quantity and history assessment,询问数量、频率、时长、病史或具体行为状态。,2,F13430|F29590,F13430/s001: Did you come here for a prescription for anti-depressants? || F29590/s001: how long has it been since you kind of drink,中,该组与 QUO 标签口径不完全一致，作为标签内异质证据保留。,current_ai_grouping_pending_human_review
QUC,True,QUC:structured_self_rating,结构化自我评分,structured self-rating,要求在数值量表上报告重要性、信心、准备度或其他主观状态。,10,F27857|F7037|F664|F12902|F5178|F6639|F21296|F2550|F29247|F29931,F27857/s001: okay so how confident are you that you can make these changes on a scale of one to ten one being not confident at all and ten being the most confident you've ever felt || F7037/s001: great I'm in Romania to get a break from the sugar I sort of on a scale of 1 to 10 with 10 being the most how motivated do you feel you are to make this change || F664/s004: so on a scale of zero to 100 how important do you think it is for you to make this change,高,量表形式高度稳定，但仍属于问句实现与评估功能的结合。,current_ai_grouping_pending_human_review
QUC,True,QUC:focused_health_assessment,聚焦式健康与病史评估,focused health and history assessment,通过较明确的问题收集健康、病史、物质使用、频率或当前行为信息。,13,F21935|F13430|F14014|F20869|F8969|F14003|F28816|F24943|F17507|F29590|F12887|F20549|F31422,F21935/s001: and you mentioned that you weren't sleeping too well do you have any weight changes during that time || F13430/s001: Did you come here for a prescription for anti-depressants? || F14014/s003: Did you come here for a prescription for anti-depressants?,高,部分问题可以产生长回答，不能只凭形式断言均为封闭问句。,current_ai_grouping_pending_human_review
QUC,True,QUC:collaborative_option_question,许可与选项协商,permission and option negotiation,征求讨论许可、询问方案接受度或让对方在选项间表达立场。,4,F18646|F4998|F8089|F32273,F18646/s001: it's kind of the same old routine um I wonder if it would be okay if we could talk about some of the options that are out there for folks that have some mild depression || F4998/s001: so is this an inconvenience that you can move past or is this a major life event that does change things || F8089/s005: so does either of those sound like they might work for you,中,卡片内部也包含一般探索问题。,current_ai_grouping_pending_human_review
QUC,True,QUC:general_probing,一般性澄清追问,general clarification probing,围绕理解、时长、感受或想法进行进一步澄清。,3,F22358|F10916|F26485,F22358/s001: do you understand how important this is? || F10916/s001: okay so what other things can you tell me about that might affect your blood pressure || F26485/s005: how do you feel about that,中,该组功能较宽，保留为候选而非精细行为机制。,current_ai_grouping_pending_human_review
GI,True,GI:medication_information_instruction,用药信息与执行说明,medication information and administration instruction,解释药物用途、剂量、频率、副作用或服用要求。,3,F8166|F16131|F19483,"F8166/s008: okay so I wrote a prescription for an antibiotic for Aidan that should help with the ear infection || F16131/s001: yeah I'm the pharmacist on duty citalopram okay it's an antidepressant and it comes in   and  milligram strength it's excreted in the urine and it has a half-life of about  hours for side effects there are sexual side effects heart side effects and stomachs side effects || F19483/s004: Okay well smoking really is really bad for you, you know it causes things like lung cancer, emphysema, heart disease.",高,部分卡片同时包含建议和风险信息。,current_ai_grouping_pending_human_review
GI,True,GI:health_recommendation,健康建议与风险指导,health recommendation and risk guidance,根据健康风险提出行为、治疗或生活方式建议。,2,F27515|F10264,F27515/s001: at this point is to think about transitioning you off of the oxy onto one of these over-the-counter medications and using some of these other techniques to help you manage the pain || F10264/s004: okay well for a man your age in this high risk category it is recommended that you actually cut out drinking altogether to reduce that risk,中,F10264 同时包含提问和目标设定，功能并非纯信息提供。,current_ai_grouping_pending_human_review
SU,True,SU:empathic_validation,共情理解与困难确认,empathic understanding and validation,表达理解、承认困难或确认对方处境。,4,F24760|F29825|F4756|F7389,F24760/s001: I completely understand your you have a busy lifestyle || F29825/s001: sure it's quite understandable to be nervous coming in to talk to it like this || F4756/s004: and I do get where you're coming from,高,I understand 等模板可能只体现话语形式，真实共情效果仍需语境。,current_ai_grouping_pending_human_review
SU,True,SU:help_offering,提供帮助与支持可用性,offering help and support availability,明确表达愿意帮助或询问对方需要何种帮助。,5,F9720|F4512|F16190|F19935|F28603,F9720/s005: listen I really want to help you || F4512/s005: yeah I really want to help you || F16190/s001: I'm here to help,高,help 词汇高度重复，需把行为功能与词汇模板同时报告。,current_ai_grouping_pending_human_review
SU,True,SU:directive_risk_guidance,直接建议与风险评价,directive advice and risk evaluation,直接要求改变、评价当前行为或指出健康风险。,3,F9578|F26642|F20743,F9578/s002: You've gotten pretty isolated. || F26642/s016: You're putting yourself at risk for all these other diseases || F20743/s016: It looks like you got a letter about your AC and you haven't been taking very good care of your diabetes.,中,该成分并非支持行为的唯一形式，且卡片内容较混合。,current_ai_grouping_pending_human_review
AF,True,AF:positive_evaluation,行动、目标与个人优势肯定,"affirmation of actions, goals, and strengths",正向评价对方的行动、计划、努力或个人优势。,5,F30870|F6676|F28469|F22411|F24167,F30870/s004: that's a great goal to have for yourself || F6676/s003: I'm glad you called. || F28469/s002: I am so proud of you that is awesome Taylor think I am just that couldn't be happier and wait till we tell the group,高,正向词汇可能是表层线索，不能仅凭形容词认定完整行为功能。,current_ai_grouping_pending_human_review
AF,True,AF:affirmative_reflection,肯定性反映,affirmative reflection,在重述对方计划或状态时加入鼓励和正向强化。,2,F7143|F25532,F7143/s001: sounds like you're really motivated and you're doing some research and kind of staying on top of it that's you know trying || F25532/s001: that sounds like a great idea,中,部分证据更接近一般反映或固定 sounds like 模板。,current_ai_grouping_pending_human_review
AF,True,AF:gratitude_rapport,感谢与关系维持,gratitude and rapport maintenance,通过感谢、赞赏参与或礼貌收尾维持互动关系。,5,F9869|F24206|F11511|F31149|F19654,"F9869/s003: Thank you so much for calling me back, I sure appreciate it || F24206/s001: so thank you so thank you for being here and congratulations again for taking that first step || F11511/s002: and this has been very useful I appreciate you",高,感谢是社会互动功能，不应与对个人优势的肯定合并。,current_ai_grouping_pending_human_review
