label,is_leaf_label,component_ref,representation_component,representation_component_en,definition,supporting_feature_count,supporting_sae_features,representative_evidence,confidence,boundary_note,status,evidence_class,structural_recurrence
AF,True,AF:gratitude_rapport,感谢与关系维持,gratitude and rapport maintenance,通过感谢、赞赏参与或礼貌收尾维持互动关系。,5,F9869|F24206|F11511|F31149|F19654,"F9869/s003: Thank you so much for calling me back, I sure appreciate it || F24206/s001: so thank you so thank you for being here and congratulations again for taking that first step || F11511/s002: and this has been very useful I appreciate you",高,感谢是社会互动功能，不应与对个人优势的肯定合并。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
RE,False,RE:it_evaluative_construction,it 引导的评价结构,it-prefaced evaluative construction,以 it/it's/that is 等结构组织评价、判断或状态描述。,4,F15068|F111|F30798|F15396,F15068/s003: yeah and it got the feeling that it's something that you want to think about that this is a really big decision and it's not one that you're gonna make in a hurry || F111/s005: So it sounds that you have been dealing with this for a while? || F30798/s001: It does sound like something pretty significant happened that sort of  Freaked everybody out.,中,该结构覆盖面广，可能是通用英语句法而非标签特异机制。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
QU,False,QU:do_you_question_form,do you 助动词问句,do-you auxiliary question,使用 do you 及相近助动词前置结构发问。,2,F12340|F16969,F12340/s001: do you think that this will be helpful I'm black Franny || F16969/s030: do you drink alcohol,高,主要是句法形式证据。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_candidate
QUC,True,QUC:quantitative_how_form,时长与数量问句,duration and quantity question form,使用 how long/how much 等形式询问时长或数量。,2,F29947|F8861,F29947/s004: okay and how long have you been smoking? || F8861/s001: and I'm curious as to how much time did you spend walking your dog in nature,高,编码的是量化问句实现，不是独立行为机制。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_candidate
QUC,True,QUC:scale_question_template,量表问句模板,scale-question template,重复出现量表、数值端点和评分提示结构。,3,F18714|F32565|F2416,F18714/s002: could you say on a scale of zero to ten ten being really ready zero being not ready at all how ready would you be to do some counselling || F32565/s004: so let me ask you on a scale of zero to ten zero being not confident at all and ten being 100% confident how confident are you that you will be able to stay consistent with this new exercise regime || F2416/s002: and on a scale from zero to 100 100 how confident are you in making this change,高,与行为层的结构化自评相呼应，但此处证据层是表层模板。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
QUC,True,QUC:mixed_question_formats,混合问句格式,mixed question formats,多种问句与陈述混合，无法稳定归为单一形式。,2,F9827|F736,F9827/s001: okay so is there anything else that you like about it || F736/s013: did you have a sense when you came in,低,不据此判断 QUC 功能边界。,current_ai_grouping_pending_human_review,unclear_or_mixed,recurrent_multi_latent_candidate
GI,True,GI:healthcare_discourse_markers,会谈过渡与确认标记,dialogue transition and confirmation markers,重复出现 actually、yeah、it is 等过渡和确认标记。,3,F2055|F23723|F5828,"F2055/s001: um now I was taking a look at your medication profile earlier and it looks like you're on two different strengths of lipitor so that obviously it can't be right || F23723/s003: Actually, if you look up here... the roof of your mouth, I'm noticing a lot of irritation that's really consistent with tobacco use || F5828/s001: no but you know I was recording the show that I watch and it was on there and so I've just gone back and watched it you know again and again my wife I've heard it a couple other times on the news hey everybody yeah",中,F5828 含非医疗样例，说明该模式更可能是通用话语结构。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
GI,True,GI:medication_treatment_topic,药物与治疗主题,medication and treatment topic,围绕药物名称、处方、剂量、治疗和咨询场景。,6,F16345|F8294|F21634|F24876|F1713|F17556,F16345/s001: he's right this medicine is designed to help lower your cholesterol and that means that it will help lower your risk of having a heart attack or a stroke || F8294/s001: yeah I'm the pharmacist on duty citalopram okay it's an antidepressant and it comes in   and  milligram strength it's excreted in the urine and it has a half-life of about  hours for side effects there are sexual side effects heart side effects and stomachs side effects || F21634/s003: okay well you're going to take one tablet of cholesteryl sent in twenty one time a day by mouth and you can take that with or without food,高,主题集中不等于模型表征了信息给予功能。,current_ai_grouping_pending_human_review,topic,recurrent_multi_latent_strong_candidate
GI,True,GI:health_risk_vitals_topic,健康风险与指标主题,health risk and clinical metrics topic,围绕疾病风险、血压、胆固醇、数量指标和健康后果。,5,F26879|F26236|F16515|F7148|F20329,F26879/s003: because smoking is a major risk factor for DVT even if you even if we treat you now if you don't quit smoking I'm afraid the blood clots will return again || F26236/s001: okay okay so this medication is for your cholesterol || F16515/s001: did you know that a glass of orange juice has almost as many calories as a can of cola,高,可能同时包含建议、事实和量化语言。,current_ai_grouping_pending_human_review,topic,recurrent_multi_latent_strong_candidate
GI,True,GI:diet_weight_activity_topic,饮食、体重与活动主题,"diet, weight, and activity topic",围绕饮食、体重、锻炼和日常健康行为。,4,F9893|F18490|F30517|F6651,"F9893/s004: there are there's a couple out there one called protein power and but a lot of my patients have had a lot of luck with South Beach diet || F18490/s001: overall, obesity can lead to many chronic conditions || F30517/s001: John is very important that you recognize that some fruits but especially fruit juice can contain a huge amount of calories",高,主题特征不能直接解释互动功能。,current_ai_grouping_pending_human_review,topic,recurrent_multi_latent_strong_candidate
GI,True,GI:general_health_behavior_topic,一般健康行为主题,general health-behavior topic,多种健康行为和医疗内容混合出现。,2,F17827|F17685,F17827/s007: your ac it measures the amount of sugar that's been on your hemoglobin in the last three months to determine how well you've been controlling your blood sugar || F17685/s001: most people who smoke do it because they as does something good for them,中,主题范围较宽，作为剩余主题成分保留。,current_ai_grouping_pending_human_review,topic,recurrent_multi_latent_candidate
SU,True,SU:first_person_supportive_form,第一人称支持性表达,first-person supportive construction,使用 I、I've、I can、I would 等第一人称结构表达立场或支持。,3,F19359|F8760|F16045,F19359/s001: I'm guessing you've learned a lot of lessons || F8760/s003: I understand you've come here today to the agency because you have a recent arrest || F16045/s001: I have a lot of thoughts about it a lot of memories about it I think I've just kind of got to work through them you know we had this really sad but I can't let it roll my life you said it,中,第一人称结构可承载多种功能。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
SU,True,SU:evaluative_demonstrative_form,指示词评价结构,demonstrative evaluative construction,使用 this/that + 系词或形容词形成评价性陈述。,2,F22730|F24856,"F22730/s001: This is the first time that you've had something that really happened, this incident that happened where he pushed you really, prompted you to, to take some steps || F24856/s010: and that's great",中,结构证据不能单独确认支持行为。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_candidate
SU,True,SU:difficulty_negative_affect,困难与负向体验内容,difficulty and negative-experience content,表达困难、压力、艰难或不愉快体验。,2,F16736|F11872,F16736/s001: I mean realistically not everyone is a success story and we see its relapse it's a part of recovery but but for most cases though that difficult cases that do a good job and make that transformation when does that usually occur || F11872/s001: so you've tried some diets before and they haven't worked out and since you're a single mom with kids is it's been hard for you to cook meals or do grocery shopping?,高,情感内容可能支持共情，但本身不是共情行为。,current_ai_grouping_pending_human_review,affective_content,recurrent_multi_latent_candidate
SU,True,SU:mixed_supportive_discourse,混合型支持话语,mixed supportive discourse,多种咨询、支持或一般会谈功能混合，无法稳定分离。,2,F5366|F2995,F5366/s001: that's particularly hard when those anniversaries come around for the passings of our parents that's a that's a very difficult time I || F2995/s002: this is a big stuff for you I know I'm it's hard to make a step like this,低,保留为不清晰成分，不推断统一支持机制。,current_ai_grouping_pending_human_review,unclear_or_mixed,recurrent_multi_latent_candidate
AF,True,AF:gratitude_formula,感谢公式结构,gratitude formula,重复出现 thank you、thanks for coming 和 thank you for + 动名词等结构。,3,F17793|F28724|F2434,F17793/s003: thanks so much for coming in today || F28724/s001: hi Heather thanks for coming in || F2434/s001: Thanks for comming today,高,可能是固定礼貌模板，需与行为层感谢功能并列报告。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
AF,True,AF:positive_evaluative_construction,评价性句式（以正向为主）,"evaluative construction, predominantly positive",使用 that's/that is/good/great 等系词和形容词表达正向或负向评价，其中正向用法占主导。,3,F32764|F24856|F16965,F32764/s006: Wow yeah wow that is awesome || F24856/s010: and that's great || F16965/s001: does that capture for you some of the good things or things that are keeping you smoking,高,F32764/F24856 也覆盖 upsetting、hard 等负向评价，不能视为纯正向行为。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
AF,True,AF:positive_evaluation_affect,正向评价与赞扬内容,positive evaluation and praise content,稳定出现 good、great、awesome 等正向评价和赞扬内容。,6,F23464|F22475|F29908|F453|F1871|F32320,"F23464/s002: that's good to hear || F22475/s010: it's good to see you again || F29908/s001: Wow, nice.",高,高一致性可能来自词汇方向，仍需与行为肯定区分。,current_ai_grouping_pending_human_review,affective_content,recurrent_multi_latent_strong_candidate
