label,is_leaf_label,component_ref,representation_component,representation_component_en,definition,supporting_feature_count,supporting_sae_features,representative_evidence,confidence,boundary_note,status,evidence_class,structural_recurrence
QU,False,QU:change_evocation,改变动机与障碍唤起,change-motivation and barrier evocation,询问改变的理由、利弊、障碍和可能行动，以促发自我反思。,3,F27061|F18310|F21203,F27061/s001: do you know of any thing that will help you quit smoking? || F18310/s001: in what ways might your life be better if you succeed in making the changes you mentioned || F21203/s001: you also mentioned that smoking is a way to manage your weight and concern that if you are we're going to quit smoking what that would do in terms of gaining weight and that smoking after meals is pleasurable that it's something that would be really hard to give up,高,当前证据支持提问功能，不证明产生了实际改变言语。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QU,False,QU:focused_assessment,聚焦式事实与行为评估,focused factual and behavioral assessment,收集病史、频率、数量、行为状态或其他相对明确的信息。,6,F13430|F29590|F21935|F24943|F22358|F21859,F13430/s001: Did you come here for a prescription for anti-depressants? || F29590/s001: how long has it been since you kind of drink || F21935/s001: and you mentioned that you weren't sleeping too well do you have any weight changes during that time,高,该成分混合开放和封闭问法，不能据此判断 QUO/QUC。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QUO,True,QUO:open_exploration,开放式经历与观点探索,open exploration of experience and perspective,使用 what/how/tell me 等方式邀请对方展开经历、观点、目标和困难。,14,F9959|F26485|F24744|F24761|F18730|F21125|F19840|F32508|F26144|F19038|F3887|F19470|F3156|F14247,F9959/s001: What kind of dog do you have? || F26485/s005: how do you feel about that || F24744/s001: um what do you think that there's more of more positive or negative,高,开放形式并不自动等于治疗性功能。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QUO,True,QUO:change_evocation,改变动机与差距探索,change-motivation and discrepancy exploration,探索改变的理由、障碍、两面性以及当前状态与目标的差距。,4,F18310|F27061|F21203|F18990,F18310/s001: in what ways might your life be better if you succeed in making the changes you mentioned || F27061/s001: do you know of any thing that will help you quit smoking? || F21203/s001: you also mentioned that smoking is a way to manage your weight and concern that if you are we're going to quit smoking what that would do in terms of gaining weight and that smoking after meals is pleasurable that it's something that would be really hard to give up,高,部分样例是一般信息收集，成分边界仍需人工确认。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QUO,True,QUO:focused_assessment,聚焦式数量与病史询问,focused quantity and history assessment,询问数量、频率、时长、病史或具体行为状态。,2,F13430|F29590,F13430/s001: Did you come here for a prescription for anti-depressants? || F29590/s001: how long has it been since you kind of drink,中,该组与 QUO 标签口径不完全一致，作为标签内异质证据保留。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_candidate
QUC,True,QUC:structured_self_rating,结构化自我评分,structured self-rating,要求在数值量表上报告重要性、信心、准备度或其他主观状态。,10,F27857|F7037|F664|F12902|F5178|F6639|F21296|F2550|F29247|F29931,F27857/s001: okay so how confident are you that you can make these changes on a scale of one to ten one being not confident at all and ten being the most confident you've ever felt || F7037/s001: great I'm in Romania to get a break from the sugar I sort of on a scale of 1 to 10 with 10 being the most how motivated do you feel you are to make this change || F664/s004: so on a scale of zero to 100 how important do you think it is for you to make this change,高,量表形式高度稳定，但仍属于问句实现与评估功能的结合。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QUC,True,QUC:focused_health_assessment,聚焦式健康与病史评估,focused health and history assessment,通过较明确的问题收集健康、病史、物质使用、频率或当前行为信息。,13,F21935|F13430|F14014|F20869|F8969|F14003|F28816|F24943|F17507|F29590|F12887|F20549|F31422,F21935/s001: and you mentioned that you weren't sleeping too well do you have any weight changes during that time || F13430/s001: Did you come here for a prescription for anti-depressants? || F14014/s003: Did you come here for a prescription for anti-depressants?,高,部分问题可以产生长回答，不能只凭形式断言均为封闭问句。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QUC,True,QUC:collaborative_option_question,许可与选项协商,permission and option negotiation,征求讨论许可、询问方案接受度或让对方在选项间表达立场。,4,F18646|F4998|F8089|F32273,F18646/s001: it's kind of the same old routine um I wonder if it would be okay if we could talk about some of the options that are out there for folks that have some mild depression || F4998/s001: so is this an inconvenience that you can move past or is this a major life event that does change things || F8089/s005: so does either of those sound like they might work for you,中,卡片内部也包含一般探索问题。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QUC,True,QUC:general_probing,一般性澄清追问,general clarification probing,围绕理解、时长、感受或想法进行进一步澄清。,3,F22358|F10916|F26485,F22358/s001: do you understand how important this is? || F10916/s001: okay so what other things can you tell me about that might affect your blood pressure || F26485/s005: how do you feel about that,中,该组功能较宽，保留为候选而非精细行为机制。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
GI,True,GI:medication_information_instruction,用药信息与执行说明,medication information and administration instruction,解释药物用途、剂量、频率、副作用或服用要求。,3,F8166|F16131|F19483,"F8166/s008: okay so I wrote a prescription for an antibiotic for Aidan that should help with the ear infection || F16131/s001: yeah I'm the pharmacist on duty citalopram okay it's an antidepressant and it comes in   and  milligram strength it's excreted in the urine and it has a half-life of about  hours for side effects there are sexual side effects heart side effects and stomachs side effects || F19483/s004: Okay well smoking really is really bad for you, you know it causes things like lung cancer, emphysema, heart disease.",高,部分卡片同时包含建议和风险信息。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
GI,True,GI:health_recommendation,健康建议与风险指导,health recommendation and risk guidance,根据健康风险提出行为、治疗或生活方式建议。,2,F27515|F10264,F27515/s001: at this point is to think about transitioning you off of the oxy onto one of these over-the-counter medications and using some of these other techniques to help you manage the pain || F10264/s004: okay well for a man your age in this high risk category it is recommended that you actually cut out drinking altogether to reduce that risk,中,F10264 同时包含提问和目标设定，功能并非纯信息提供。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_candidate
SU,True,SU:empathic_validation,共情理解与困难确认,empathic understanding and validation,表达理解、承认困难或确认对方处境。,4,F24760|F29825|F4756|F7389,F24760/s001: I completely understand your you have a busy lifestyle || F29825/s001: sure it's quite understandable to be nervous coming in to talk to it like this || F4756/s004: and I do get where you're coming from,高,I understand 等模板可能只体现话语形式，真实共情效果仍需语境。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
SU,True,SU:help_offering,提供帮助与支持可用性,offering help and support availability,明确表达愿意帮助或询问对方需要何种帮助。,5,F9720|F4512|F16190|F19935|F28603,F9720/s005: listen I really want to help you || F4512/s005: yeah I really want to help you || F16190/s001: I'm here to help,高,help 词汇高度重复，需把行为功能与词汇模板同时报告。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
SU,True,SU:directive_risk_guidance,直接建议与风险评价,directive advice and risk evaluation,直接要求改变、评价当前行为或指出健康风险。,3,F9578|F26642|F20743,F9578/s002: You've gotten pretty isolated. || F26642/s016: You're putting yourself at risk for all these other diseases || F20743/s016: It looks like you got a letter about your AC and you haven't been taking very good care of your diabetes.,中,该成分并非支持行为的唯一形式，且卡片内容较混合。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
AF,True,AF:positive_evaluation,行动、目标与个人优势肯定,"affirmation of actions, goals, and strengths",正向评价对方的行动、计划、努力或个人优势。,5,F30870|F6676|F28469|F22411|F24167,F30870/s004: that's a great goal to have for yourself || F6676/s003: I'm glad you called. || F28469/s002: I am so proud of you that is awesome Taylor think I am just that couldn't be happier and wait till we tell the group,高,正向词汇可能是表层线索，不能仅凭形容词认定完整行为功能。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
AF,True,AF:affirmative_reflection,肯定性反映,affirmative reflection,在重述对方计划或状态时加入鼓励和正向强化。,2,F7143|F25532,F7143/s001: sounds like you're really motivated and you're doing some research and kind of staying on top of it that's you know trying || F25532/s001: that sounds like a great idea,中,部分证据更接近一般反映或固定 sounds like 模板。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_candidate
AF,True,AF:gratitude_rapport,感谢与关系维持,gratitude and rapport maintenance,通过感谢、赞赏参与或礼貌收尾维持互动关系。,5,F9869|F24206|F11511|F31149|F19654,"F9869/s003: Thank you so much for calling me back, I sure appreciate it || F24206/s001: so thank you so thank you for being here and congratulations again for taking that first step || F11511/s002: and this has been very useful I appreciate you",高,感谢是社会互动功能，不应与对个人优势的肯定合并。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
RE,False,RE:reflection_surface_template,反映式表层模板,reflection surface template,以 it/sounds/seems/looks like 等固定框架引出对对方状态的表述。,6,F21800|F8034|F29190|F4018|F23670|F28688,F21800/s004: okay so it sounds like you're willing to make a change and you're getting kind of excited about possibly having more energy || F8034/s004: Wow okay so it sounds like you're feeling pretty confident after our discussion || F29190/s001: yeah that sounds like that's a source of frustration,高,模板重复不等于已经识别反映行为，可能主要编码词法和句法。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
RE,False,RE:so_discourse_launch,so 引导的话语启动结构,so-prefaced discourse launch,使用 so、okay so 或相近标记启动问题、总结或回应。,6,F19435|F31930|F14875|F5663|F9537|F17315,"F19435/s004: soyou're concerned about having a stroke || F31930/s003: So Greg, just focus on your drinking, can you tell me a bit about when you first started drinking when || F14875/s012: and so let's look at those two here",高,同一标记可承载提问、过渡和反映等不同功能。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
RE,False,RE:second_person_evaluation,第二人称评价与经历陈述,second-person evaluation and experience statement,以 you/you're 指向对方的经历、健康状态或评价。,4,F17861|F20808|F4662|F13966,F17861/s001: you keep throwing wine into the conversation || F20808/s002: You've gotten pretty isolated. || F4662/s001: yeah Chris come on you're getting peer pressure,中,第二人称形式过于常见，必须与行为功能分开解释。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
RE,False,RE:it_evaluative_construction,it 引导的评价结构,it-prefaced evaluative construction,以 it/it's/that is 等结构组织评价、判断或状态描述。,4,F15068|F111|F30798|F15396,F15068/s003: yeah and it got the feeling that it's something that you want to think about that this is a really big decision and it's not one that you're gonna make in a hurry || F111/s005: So it sounds that you have been dealing with this for a while? || F30798/s001: It does sound like something pretty significant happened that sort of  Freaked everybody out.,中,该结构覆盖面广，可能是通用英语句法而非标签特异机制。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
RE,False,RE:mixed_counseling_discourse,混合型咨询话语,mixed counseling discourse,卡片同时包含问题、反映、建议或一般会谈标记，无法形成单一解释。,3,F2995|F3805|F13312,F2995/s002: this is a big stuff for you I know I'm it's hard to make a step like this || F3805/s001: and I obviously haven't been this way like when I took this job I guess that's when my health started spiraling downwards and I don't know I guess that's when I kind of noticed things were kind of off as far as my health goes so || F13312/s001: but in looking through this chart I mean it seems like he's had six or seven of these just in the past year or so that's really a big problem,低,保留为稳定核心中的未解析结构，不据此命名行为概念。,current_ai_grouping_pending_human_review,unclear_or_mixed,recurrent_multi_latent_strong_candidate
RES,True,RES:second_person_address,第二人称指向结构,second-person address structure,以 you/you're 或 so you 指向对方经历、状态或行为。,3,F20808|F13966|F19435,F20808/s002: You've gotten pretty isolated. || F13966/s003: You're putting yourself at risk for all these other diseases || F19435/s004: soyou're concerned about having a stroke,中,形式重复不能确认简单反映，且缺少 client 前文。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
RES,True,RES:mixed_healthcare_discourse,混合型医疗会谈,mixed healthcare discourse,医疗或咨询会谈中的多种话语功能混合出现。,3,F11435|F23077|F32696,F11435/s001: hey Monica how are you doing today || F23077/s027: five times a week yeah okay you know I wanted to show you on this chart here that using marijuana thought times a week the way you are and from what you said on our questionnaire put you in this category of being at risk || F32696/s001: Having diabetes affects you more than you realize and some people feel fine when they have a big ulcer on their foot.,低,无法确定共享成分是行为、主题还是语体。,current_ai_grouping_pending_human_review,unclear_or_mixed,recurrent_multi_latent_strong_candidate
REC,True,REC:reflection_surface_template,反映式表层模板,reflection surface template,使用 it/that sounds like、seems like、okay so 等模板引出解释或重述。,8,F15068|F21800|F23670|F29190|F111|F28688|F8034|F4018,F15068/s003: yeah and it got the feeling that it's something that you want to think about that this is a really big decision and it's not one that you're gonna make in a hurry || F21800/s004: okay so it sounds like you're willing to make a change and you're getting kind of excited about possibly having more energy || F23670/s010: sounds like you're noticing quite a few not so good things about alcohol though mom got mad at you you're having decreased focus you're kind of not doing so well in school maybe,高,该结果首先说明语言实现形式集中，不单独证明复杂反映。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
REC,True,REC:so_discourse_launch,so 引导的话语启动结构,so-prefaced discourse launch,使用 so 或相近话语标记启动问题、总结和回应。,4,F19435|F14875|F5663|F31930,F19435/s004: soyou're concerned about having a stroke || F14875/s012: and so let's look at those two here || F5663/s001: so you can't imagine that so is look at the other side can you imagine having further instance with law enforcement we're charges in the future,高,so 是高频会话标记，标签特异性有限。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
REC,True,REC:mixed_counseling_discourse,混合型咨询话语,mixed counseling discourse,包含反映、建议、问题和医疗会谈等多种模式，无法稳定分离。,3,F3805|F31585|F2995,F3805/s001: and I obviously haven't been this way like when I took this job I guess that's when my health started spiraling downwards and I don't know I guess that's when I kind of noticed things were kind of off as far as my health goes so || F31585/s001: so it sounds like you really want to go to Black Friday with your friends you're feeling a little anxious about it || F2995/s002: this is a big stuff for you I know I'm it's hard to make a step like this,低,保留为未解析稳定特征，不强行归入反映层级。,current_ai_grouping_pending_human_review,unclear_or_mixed,recurrent_multi_latent_strong_candidate
QU,False,QU:wh_question_form,WH 问句形式,WH-question form,以 what/how 等疑问词构成信息请求。,3,F11660|F23183|F8658,"F11660/s002: What would you say? || F23183/s001: What, what are your thoughts right now about some of the options out there for you to do, if, if anything? || F8658/s001: so just drinking water so why don't we you said you've done it in the past right how do you feel about drinking five bottles",高,疑问形式不能自动区分开放和封闭功能。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
QU,False,QU:do_you_question_form,do you 助动词问句,do-you auxiliary question,使用 do you 及相近助动词前置结构发问。,2,F12340|F16969,F12340/s001: do you think that this will be helpful I'm black Franny || F16969/s030: do you drink alcohol,高,主要是句法形式证据。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_candidate
QU,False,QU:question_disfluency,问句重复与不流利,question repetition and disfluency,疑问词重复、重启或犹豫标记共同出现。,2,F12544|F3459,F12544/s004: what what's what kind of drinks do you have what do you drink || F3459/s001: What what do you think,中,可能反映口语转录或说话风格，而非咨询功能。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_candidate
QUO,True,QUO:what_question_template,what 问句模板,what-question template,以 what、what do you、what do you think 等模板邀请回答。,6,F23183|F14833|F8191|F6129|F12337|F25210,"F23183/s001: What, what are your thoughts right now about some of the options out there for you to do, if, if anything? || F14833/s003: What do you think? || F8191/s003: what kind of dogs",高,模板本身不足以证明回答空间一定开放。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
QUO,True,QUO:wh_question_disfluency,WH 问句与不流利结构,WH-question and disfluency structure,WH 问句中出现 would、重复、重启或犹豫。,3,F11660|F3459|F12544,F11660/s002: What would you say? || F3459/s001: What what do you think || F12544/s004: what what's what kind of drinks do you have what do you drink,中,其中一部分可能是转录风格。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
QUC,True,QUC:auxiliary_yes_no_form,助动词前置的是非问句,auxiliary-fronted yes-no question,以 do/are/have 等助动词前置形成较明确的是非或筛查问题。,7,F12555|F12340|F20463|F16969|F2504|F12676|F19364,F12555/s005: And if Oscar's that important to you then do you put Oscar higher than your baby? || F12340/s001: do you think that this will be helpful I'm black Franny || F20463/s001: are you picking up for yourself today or for somebody else,高,句法形式与实际回答长度并非一一对应。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
QUC,True,QUC:quantitative_how_form,时长与数量问句,duration and quantity question form,使用 how long/how much 等形式询问时长或数量。,2,F29947|F8861,F29947/s004: okay and how long have you been smoking? || F8861/s001: and I'm curious as to how much time did you spend walking your dog in nature,高,编码的是量化问句实现，不是独立行为机制。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_candidate
QUC,True,QUC:scale_question_template,量表问句模板,scale-question template,重复出现量表、数值端点和评分提示结构。,3,F18714|F32565|F2416,F18714/s002: could you say on a scale of zero to ten ten being really ready zero being not ready at all how ready would you be to do some counselling || F32565/s004: so let me ask you on a scale of zero to ten zero being not confident at all and ten being 100% confident how confident are you that you will be able to stay consistent with this new exercise regime || F2416/s002: and on a scale from zero to 100 100 how confident are you in making this change,高,与行为层的结构化自评相呼应，但此处证据层是表层模板。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
QUC,True,QUC:mixed_question_formats,混合问句格式,mixed question formats,多种问句与陈述混合，无法稳定归为单一形式。,2,F9827|F736,F9827/s001: okay so is there anything else that you like about it || F736/s013: did you have a sense when you came in,低,不据此判断 QUC 功能边界。,current_ai_grouping_pending_human_review,unclear_or_mixed,recurrent_multi_latent_candidate
GI,True,GI:healthcare_discourse_markers,会谈过渡与确认标记,dialogue transition and confirmation markers,重复出现 actually、yeah、it is 等过渡和确认标记。,3,F2055|F23723|F5828,"F2055/s001: um now I was taking a look at your medication profile earlier and it looks like you're on two different strengths of lipitor so that obviously it can't be right || F23723/s003: Actually, if you look up here... the roof of your mouth, I'm noticing a lot of irritation that's really consistent with tobacco use || F5828/s001: no but you know I was recording the show that I watch and it was on there and so I've just gone back and watched it you know again and again my wife I've heard it a couple other times on the news hey everybody yeah",中,F5828 含非医疗样例，说明该模式更可能是通用话语结构。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
GI,True,GI:medication_treatment_topic,药物与治疗主题,medication and treatment topic,围绕药物名称、处方、剂量、治疗和咨询场景。,6,F16345|F8294|F21634|F24876|F1713|F17556,F16345/s001: he's right this medicine is designed to help lower your cholesterol and that means that it will help lower your risk of having a heart attack or a stroke || F8294/s001: yeah I'm the pharmacist on duty citalopram okay it's an antidepressant and it comes in   and  milligram strength it's excreted in the urine and it has a half-life of about  hours for side effects there are sexual side effects heart side effects and stomachs side effects || F21634/s003: okay well you're going to take one tablet of cholesteryl sent in twenty one time a day by mouth and you can take that with or without food,高,主题集中不等于模型表征了信息给予功能。,current_ai_grouping_pending_human_review,topic,recurrent_multi_latent_strong_candidate
GI,True,GI:health_risk_vitals_topic,健康风险与指标主题,health risk and clinical metrics topic,围绕疾病风险、血压、胆固醇、数量指标和健康后果。,5,F26879|F26236|F16515|F7148|F20329,F26879/s003: because smoking is a major risk factor for DVT even if you even if we treat you now if you don't quit smoking I'm afraid the blood clots will return again || F26236/s001: okay okay so this medication is for your cholesterol || F16515/s001: did you know that a glass of orange juice has almost as many calories as a can of cola,高,可能同时包含建议、事实和量化语言。,current_ai_grouping_pending_human_review,topic,recurrent_multi_latent_strong_candidate
GI,True,GI:diet_weight_activity_topic,饮食、体重与活动主题,"diet, weight, and activity topic",围绕饮食、体重、锻炼和日常健康行为。,4,F9893|F18490|F30517|F6651,"F9893/s004: there are there's a couple out there one called protein power and but a lot of my patients have had a lot of luck with South Beach diet || F18490/s001: overall, obesity can lead to many chronic conditions || F30517/s001: John is very important that you recognize that some fruits but especially fruit juice can contain a huge amount of calories",高,主题特征不能直接解释互动功能。,current_ai_grouping_pending_human_review,topic,recurrent_multi_latent_strong_candidate
GI,True,GI:general_health_behavior_topic,一般健康行为主题,general health-behavior topic,多种健康行为和医疗内容混合出现。,2,F17827|F17685,F17827/s007: your ac it measures the amount of sugar that's been on your hemoglobin in the last three months to determine how well you've been controlling your blood sugar || F17685/s001: most people who smoke do it because they as does something good for them,中,主题范围较宽，作为剩余主题成分保留。,current_ai_grouping_pending_human_review,topic,recurrent_multi_latent_candidate
SU,True,SU:first_person_supportive_form,第一人称支持性表达,first-person supportive construction,使用 I、I've、I can、I would 等第一人称结构表达立场或支持。,3,F19359|F8760|F16045,F19359/s001: I'm guessing you've learned a lot of lessons || F8760/s003: I understand you've come here today to the agency because you have a recent arrest || F16045/s001: I have a lot of thoughts about it a lot of memories about it I think I've just kind of got to work through them you know we had this really sad but I can't let it roll my life you said it,中,第一人称结构可承载多种功能。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_strong_candidate
SU,True,SU:evaluative_demonstrative_form,指示词评价结构,demonstrative evaluative construction,使用 this/that + 系词或形容词形成评价性陈述。,2,F22730|F24856,"F22730/s001: This is the first time that you've had something that really happened, this incident that happened where he pushed you really, prompted you to, to take some steps || F24856/s010: and that's great",中,结构证据不能单独确认支持行为。,current_ai_grouping_pending_human_review,linguistic_structure,recurrent_multi_latent_candidate
